Name,Smile,Vendor
Z2017098951,Cc1cc(Cl)c2ncc(C#N)c(NCc3nnc(C4CC4)o3)c2c1,enamine
Z1913252685,O=S(=O)(Cc1ccccc1C(F)(F)F)Nc1ccnc(-c2cncs2)n1,enamine
Z1521944555,COC(=O)c1cc(OC)ccc1NC(=O)c1cnn(-c2ccc(F)cc2F)c1,enamine
Z1265608105,O=S(=O)(c1cnn(-c2ccccc2F)c1)N1CCCc2ccccc21,enamine
Z220414724,COc1ccccc1CC(=O)Nc1cccc(-c2nnnn2C)c1,enamine
Z741423618,Cc1ccc(C)c(S(=O)(=O)NCc2cccc(Cn3cncn3)c2)c1,enamine
Z808915500,O=C(Cc1ccc(NC(=O)c2cc3ccccc3o2)cc1)Nc1nnc[nH]1,enamine
Z85525788,O=C(Nc1ccccn1)c1ccccc1OCc1ccc(F)cc1,enamine
Z192681954,COC(=O)c1ccccc1NC(=O)c1cnn(-c2ccccc2)c1C,enamine
Z373770730,Cc1nc(-c2ccc(CC(=O)Nc3cnn(C)c3)cc2)cs1,enamine
Z741352188,COc1ccccc1S(=O)(=O)NCc1ccc(Cn2ccnc2)cc1,enamine
Z1020919850,CCOc1ccccc1C(=O)Nc1ccc(C)c(-n2nnnc2C)c1,enamine
Z1020989872,Cc1ncsc1C(=O)Nc1ccc(-c2nc(C(C)C)no2)cc1,enamine
Z1021009862,COc1ccc(C(=O)Nc2ccc(C)c(-n3nnnc3C)c2)c(OC)c1OC,enamine
Z1020950152,NC(=O)c1ccn(-c2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2)n1,enamine
Z1020950222,CC(C)c1ccc(S(=O)(=O)Nc2ccc(-n3ccc(C(N)=O)n3)cc2)cc1,enamine
Z1020951058,CC(C)c1noc(-c2ccc(NS(=O)(=O)c3ccc(F)c(F)c3)cc2)n1,enamine
Z1020952108,COc1ccc(Br)cc1S(=O)(=O)Nc1ccc(C)c(-n2nnnc2C)c1,enamine
Z370819704,NC(=O)c1cccc(NC(=O)Cc2ccc(-n3cnnn3)cc2)c1,enamine
Z991668340,COc1cc(Cl)c(C)cc1NC(=O)c1ccc(-n2ccnc2)nn1,enamine
Z852969220,CN(C(=O)c1csc(-c2ccccc2F)n1)c1nccs1,enamine
Z741017256,Cc1cccc(NC(=O)Cc2c(C)nc(-c3ccncc3)[nH]c2=O)c1,enamine
Z757398790,CC(=O)Nc1nc(C(=O)Nc2nccn2Cc2ccccc2)cs1,enamine
Z27473739,O=C(Cn1ccc(C(F)(F)F)n1)Nc1nnc(Cc2ccccc2)s1,enamine
Z741507632,Cc1cc(C)n(-c2ccc(CNS(=O)(=O)c3cc(F)cc(F)c3)cn2)n1,enamine
Z741508158,Cc1cc(C)n(-c2ccc(CNS(=O)(=O)c3cccc(F)c3)cn2)n1,enamine
Z741422770,Cc1ccc(F)cc1S(=O)(=O)NCc1cccc(Cn2cncn2)c1,enamine
Z741508182,Cc1cc(C)n(-c2ccc(CNS(=O)(=O)c3ccccc3F)cn2)n1,enamine
Z1022031592,COc1ccccc1C1CC1C(=O)Nc1cccc(-c2ccnc(C)n2)c1,enamine
Z1022032802,COc1ccccc1C1CC1C(=O)Nc1cccc(-n2cnnc2)c1,enamine
Z1021888936,Cc1cnc(NC(=O)c2nc(C3CC3)n(-c3ccccc3)n2)s1,enamine
Z815778272,COc1ccc(-n2ccc(CNc3ncccc3C#N)n2)cc1,enamine
Z223586902,COc1ccccc1NC(=O)c1cc(-c2ccccc2F)nc2onc(C)c12,enamine
Z89100936,O=c1[nH]c(Cn2nnc(-c3cccc(F)c3)n2)nc2ccccc12,enamine
Z367487462,O=C(Cn1nnc2ccccc2c1=O)Nc1ccc(-n2cccn2)cc1,enamine
Z109587704,CC(NC(=O)c1cc(Cl)c[nH]1)c1ccc(-n2cncn2)cc1,enamine
Z994089684,COc1cccc(NS(=O)(=O)c2cnc3c(c2)c(=O)n(C)c(=O)n3C)c1,enamine
Z360951158,Cc1nc(-c2ccc(OCc3nc(C(C)C)no3)cc2)no1,enamine
Z961802606,CNS(=O)(=O)c1cc(C(=O)Nc2ccn(CCc3ccccn3)n2)n(C)c1,enamine
Z369416106,CC(C)c1noc(C(C)Nc2ccc3oc(C4CC4)nc3c2)n1,enamine
Z368746570,O=c1cc(CNc2cccc(S(=O)(=O)C3CCCC3)c2)nc2sccn12,enamine
Z1021675050,COc1ccc(-c2noc(=O)n2CC(=O)N2CCNC2=O)cc1OC,enamine
Z738505142,Cc1ccc(Cl)cc1S(=O)(=O)Nc1ccccc1Cn1cncn1,enamine
Z729802646,Cc1nc(-c2cccnc2)[nH]c(=O)c1CC(=O)N1c2ccccc2CC1C,enamine
Z336802334,O=C(Cn1cnc2ccc(F)cc2c1=O)Nc1cnc(-c2ccccc2)nc1,enamine
Z1022727898,CN(Cc1nccn1C)C(=O)c1cn(-c2ccc(F)cc2)nn1,enamine
Z1022736342,Cc1cc(NC(=O)c2csc(-c3ccc4c(c3)OCO4)n2)no1,enamine
Z29884870,CN(c1ccccc1)S(=O)(=O)c1ccccc1C(=O)NCC1COc2ccccc2O1,enamine
Z1022659886,Cc1csc(-c2cccc(NS(=O)(=O)c3cn[nH]c3)c2)n1,enamine
Z1022158336,O=C(NCc1cccc2cccnc12)c1cn(-c2ccc(F)cc2)nn1,enamine
Z1022428686,COc1ccccc1C(=O)Nc1ccc(OC)c(-n2nnnc2C)c1,enamine
Z977914354,COc1cccnc1NC(=O)c1ccc(Oc2cccnc2)cc1,enamine
Z977914882,CCc1nc(C(=O)Nc2ncccc2OC)nn1-c1c(Cl)cccc1Cl,enamine
Z1022945432,O=C(Nc1cccc(-n2ccnc2)c1)c1nccc2ccccc12,enamine
Z1023005260,O=C(Nc1ccccc1Cn1cncn1)c1nccc2ccccc12,enamine
Z980146434,CN(C(=O)C1CC1c1cnn(C)c1)c1ccc(Oc2ccccc2)cc1,enamine
Z910729454,N#Cc1ccccc1OCc1ccc(C(=O)Nc2cc[nH]n2)o1,enamine
Z977913952,COc1cccnc1NC(=O)c1ccc(Cn2cncn2)cc1,enamine
Z1023299962,COc1cccnc1NC(=O)Cc1c(C)nn(-c2ccccc2)c1C,enamine
Z757395786,O=C(Nc1nccn1Cc1ccccc1)c1ccc(O)nc1,enamine
Z757395376,O=C(Nc1nccn1Cc1ccccc1)c1cccnc1,enamine
Z886903836,O=C(Nc1nccn1Cc1ccccc1)c1cnc(-c2ccccc2)nc1,enamine
Z757399398,Cc1ncsc1C(=O)Nc1nccn1Cc1ccccc1,enamine
Z915528184,O=C(Nc1nnc(-c2ccccn2)s1)c1nccc2ccccc12,enamine
Z1022867554,Cn1cnnc1CNC(=O)c1csc(-c2ccc3c(c2)OCO3)n1,enamine
Z319003226,Cc1ccc(-c2noc(CN3CCN(c4ncccc4C(N)=O)CC3)n2)cc1,enamine
Z1024440740,N#Cc1ccc(-c2ccc(Oc3nccnc3C#N)cc2)cc1,enamine
Z1024440780,N#Cc1nccnc1Oc1ccc(Nc2ccccc2)cc1,enamine
Z1024443198,N#Cc1nccnc1Nc1cccc(Nc2ccccc2)c1,enamine
Z915524098,COc1cc(C)ccc1Oc1ccc(NC(=O)c2ccc(C(N)=O)cn2)cn1,enamine
Z829262744,Cc1n[nH]c(C(=O)NCc2ccc(-n3ccnc3)c(F)c2)c1Br,enamine
Z1237230375,Cc1nc(-c2cccc(NC(=O)C(=O)N3CCC(C)CC3)c2)n[nH]1,enamine
Z972612332,O=C(Cc1cccc2cccnc12)Nc1ccn(Cc2ccncc2)n1,enamine
Z972615062,O=C(Nc1ccn(Cc2ccncc2)n1)c1cn2cccnc2n1,enamine
Z972637514,O=C(Nc1ccn(Cc2cccnc2)n1)c1cn2cccnc2n1,enamine
Z971015180,COc1ccc(OC)c(C(=O)Nc2ccn(Cc3ccccn3)n2)c1,enamine
Z980264228,Cc1c(C(=O)Nc2ccn(CCc3ccncc3)n2)oc2ccccc12,enamine
Z980257570,O=C(Nc1ccn(CCc2ccncc2)n1)C1CC1c1ccccc1,enamine
Z996513662,O=C(Nc1ccn(CCc2ccccn2)n1)c1cccc2cccnc12,enamine
Z980262154,Cc1noc(C(C)C)c1C(=O)Nc1ccn(CCc2ccncc2)n1,enamine
Z840093104,COc1cccc(CNCc2ccc(Oc3cccnc3)c(F)c2)c1OC,enamine
Z1029491478,NC(=O)c1ccccc1OCc1nc(-c2ccc3c(c2)OCO3)no1,enamine
Z1279613485,O=C(Nc1cccc(-c2ccn[nH]2)c1)c1nccn2ccnc12,enamine
Z941763712,COc1ccccc1-c1nc(C(=O)NCc2csc(C)n2)cs1,enamine
Z994196892,O=C(NCc1cc(-c2ccccc2)on1)c1cnn2cccnc12,enamine
Z1279780917,O=C(NCc1ccc(-c2ccn[nH]2)cc1)c1nccn2ccnc12,enamine
Z1511521800,COc1cc(NC(=O)Cc2ccc(-n3cccn3)cc2)ncn1,enamine
Z139638870,COc1cc2c(cc1OC)CN(Cc1csc(N(C(C)=O)c3ccccc3F)n1)CC2,enamine
Z941637016,O=C(Nc1cccc2c1C(=O)NC2)c1cn(-c2ccccc2Cl)nn1,enamine
Z1033147414,O=C(Nc1ccc(F)cn1)c1cccc(-n2cnnn2)c1,enamine
Z28467986,CCn1nccc1NC(=O)c1ccc(S(=O)(=O)N(C)c2ccccc2OC)cc1,enamine
Z643663240,c1cnc2c(CCNc3cncc(-n4cccn4)n3)cccc2c1,enamine
Z910731380,Cc1oc(-c2ccccc2)nc1CC(=O)Nc1cc[nH]n1,enamine
Z980409542,COc1ccc(OC)c(S(=O)(=O)Nc2cnn(Cc3ccncc3)c2)c1,enamine
Z738897362,CCOc1ccc(Oc2cc(CNC(=O)c3cc(C)no3)ccn2)cc1,enamine
Z645226794,c1ccc(Cc2noc(CN(Cc3cccnc3)CC3CCCO3)n2)cc1,enamine
Z443224858,CCC(=O)Nc1cccc(NC(=O)Cc2c(C)nn(-c3ccc(F)cc3)c2C)c1,enamine
Z1032337388,O=S(=O)(Cc1ccn(-c2ccccc2)n1)CC1CCCO1,enamine
Z1032356092,c1ccc(-n2ccc(CN(Cc3cccnc3)CC3CCCO3)n2)cc1,enamine
Z454422938,CN(CC1COc2ccccc2O1)C(=O)c1csc(-c2cnn(C)c2)n1,enamine
Z645112688,Cn1c(NCc2ccc(-c3ccn[nH]3)cc2)c(C#N)c(=O)n(C)c1=O,enamine
Z24104127,CCn1cnc2c1c(=O)n(CC(=O)N1CC(C)OC(C)C1)c(=O)n2Cc1ccccc1,enamine
Z644675884,Cc1nc(-c2cccc(Oc3nccc(C(F)(F)F)n3)c2)no1,enamine
Z645090392,c1cncc(COc2ccc(CNc3ncnc4nc[nH]c34)cc2)c1,enamine
Z751601414,CCN(C)S(=O)(=O)c1c(C)nn(Cc2cc(C)c(C(=O)OC)o2)c1C,enamine
Z1913111829,Cn1c(-c2cnccn2)nnc1S(=O)(=O)Cc1ccc(Cl)cc1Cl,enamine
Z1696340688,O=C(Nc1cc(Cl)cc2c1OCC2)c1cccc(-n2cccn2)n1,enamine
Z1407826733,Cc1cnn(-c2ccc(S(=O)(=O)Nc3nccs3)cc2F)c1,enamine
Z1309547151,Cc1nnc2c(NCc3cnn(-c4ccc(Cl)cc4)c3)nccn12,enamine
Z1384024460,O=C(Nc1nc2ccc(F)cn2n1)c1cc(-n2cccn2)ccn1,enamine
Z434980654,COc1cn(-c2ccccc2)nc1C(=O)NCc1cc2ccccc2o1,enamine
Z1309189087,CC(NC(=O)N1CCc2ccccc21)c1ccc(-c2cncnc2)cc1,enamine
Z1462409503,COC(=O)c1ncccc1OCc1ccn(-c2ccccc2)n1,enamine
Z319843858,O=C(Cc1coc(-c2ccccc2)n1)NC1CCCc2occc21,enamine
Z319842442,Cc1nn(-c2ccccc2)c(C)c1CC(=O)NC1CCCc2occc21,enamine
Z1407839284,Cc1cnn(-c2ccc(S(=O)(=O)Nc3cc(C)on3)cc2F)c1,enamine
Z1450946858,Cc1ncc(S(=O)(=O)Nc2ccc(F)c(-c3nnc4n3CCCCC4)c2)s1,enamine
Z645969934,O=S(=O)(c1ccccc1)c1ccc(Oc2nccc(C(F)(F)F)n2)cc1,enamine
Z1154385042,O=C(Cn1nnc(-c2ccccc2)n1)Nc1nnc(C2CCCO2)o1,enamine
Z1370832542,Cc1cc(C(=O)NC(C)c2noc(Cc3ccccc3)n2)[nH]n1,enamine
Z645822872,CC(Nc1nccc(C(F)(F)F)n1)c1ccc2[nH]c(=O)[nH]c2c1,enamine
Z645544128,Cn1c(NCc2ccc(-n3cncn3)cc2)c(C#N)c(=O)n(C)c1=O,enamine
Z434713296,Cc1cc(C)n(-c2ccc(NC(=O)N3CCN(CCOc4ccccc4)CC3)cn2)n1,enamine
Z968469620,O=c1c2ccc(F)cc2ncn1Cc1ccn(-c2cccc(F)c2)n1,enamine
Z990954466,Cn1c(=O)c(Cn2nnc(-c3ccccc3)n2)nc2ccccc21,enamine
Z151006026,CN(C(=O)Cn1nc(-c2ccc(F)cc2)oc1=O)C1CCCc2ccccc21,enamine
Z100460110,O=C(Cn1nc(-c2ccc(F)cc2)oc1=O)N1CCCCC1,enamine
Z100430340,O=C(Cn1nc(-c2ccc(F)cc2)oc1=O)N1CCc2ccccc2C1,enamine
Z645517702,Cc1ccc(Oc2cc(CNc3ncccc3C#N)ccn2)cc1C,enamine
Z1412802374,Cc1ccc(=O)n(Cc2cn(-c3ccc(Cl)cc3)nn2)n1,enamine
Z215290450,CC1CN(C(=O)Cn2nc(-c3ccc(F)cc3)oc2=O)CCO1,enamine
Z645413436,COc1cc(CNc2cncc(-n3cccn3)n2)ccc1OC1CCCC1,enamine
Z295774746,Cc1nc2ccc(NC(=O)CN3C(=O)CCOc4ccccc43)cc2o1,enamine
Z646289988,c1cnc(-c2nc(CN3CCOc4ccccc4C3)cs2)nc1,enamine
Z646454028,c1ccc(Cn2cc(Nc3ncnc4ccccc34)cn2)cc1,enamine
Z411638412,Cc1ccc(Cc2cnc(NC(=O)N3CCOCC3)s2)cc1F,enamine
Z646401338,N#Cc1cccnc1NCc1nn(-c2ccccc2)c2c1CCC2,enamine
Z915437002,Cc1noc(C)c1NC(=O)Cc1coc(-c2ccccc2)n1,enamine
Z955197502,CC(C)Cc1noc(Cn2c(-c3ccccc3)noc2=O)n1,enamine
Z364102430,Cc1cc(=O)c(C(=O)NC(C)C2CCCO2)nn1-c1ccccc1F,enamine
Z443264256,Cc1nn(-c2ccc(F)cc2)c(C)c1CC(=O)Nc1cccc(OCC2CCCO2)c1,enamine
Z900718178,Cc1cccc(Cc2cnc(NC(=O)N3CCN(C4CC4)CC3)s2)c1,enamine
Z443362368,COc1ccc(C(C)NC(=O)c2ccc(-c3ccccc3)[nH]c2=O)c(OC)c1,enamine
Z354643800,COc1ccc(NC(=O)C(C)n2cccn2)cc1OC1CCCC1,enamine
Z224767838,O=C(CCc1ncc(-c2ccccc2)o1)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,enamine
Z1514262651,CC(=O)Nc1ccccc1CNc1cccc(-c2nnc[nH]2)c1,enamine
Z451153662,Cc1nn(-c2ccc(C(F)(F)F)cn2)c(C)c1CC(=O)Nc1nnc2ccccn12,enamine
Z451153716,O=C(Nc1nnc2ccccn12)c1cccc(OCc2cccnc2)c1,enamine
Z466121778,Cn1cc(-c2nc(C(=O)Nc3nnc4ccccn34)cs2)cn1,enamine
Z1280042382,Cc1nc(-c2ccc(NC(=O)c3nccn4ccnc34)cc2)oc1C,enamine
Z443958360,Cc1nn(-c2cccc(C(F)(F)F)c2)c(C)c1CC(=O)Nc1nnc2ccccn12,enamine
Z451081726,COc1cc(F)ccc1NC(=O)c1cnn(-c2ccc(Br)cc2)c1,enamine
Z91875172,COc1ccc(-c2noc(Cn3cnc4ccccc4c3=O)n2)cc1,enamine
Z1514303681,Cn1ccnc1CNC(=O)c1cc(-c2ccccn2)ccc1Cl,enamine
Z1513975955,Cn1c(Cn2nc(C(F)(F)F)ccc2=O)nnc1-c1ccccc1,enamine
Z1513980609,Nc1nc(Cn2nc(C(F)(F)F)ccc2=O)nc2ccccc12,enamine
Z1514063529,Brc1ccccc1-c1cnc(COc2ccccc2-c2nnc[nH]2)o1,enamine
Z1514063300,c1ccc(-n2nnnc2COc2ccccc2-c2nnc[nH]2)cc1,enamine
Z1513979321,O=c1ccc(C(F)(F)F)nn1Cc1coc(-c2ccccc2)n1,enamine
Z1513980780,O=c1ccc(C(F)(F)F)nn1Cc1nc(-c2ccccc2)no1,enamine
Z1514062885,Fc1cccc(-c2nnc(COc3ccccc3-c3nnc[nH]3)o2)c1,enamine
Z647137206,Cc1nn(-c2cccc(C(F)(F)F)c2)c(C)c1CC(=O)Nc1nnc[nH]1,enamine
Z647137572,Cc1nn(-c2ccc(Cl)cc2)c(C)c1CC(=O)Nc1nnc[nH]1,enamine
Z647137586,Cc1nn(-c2ccc(F)cc2)c(C)c1CC(=O)Nc1nnc[nH]1,enamine
Z647261284,CC(C)C(=O)Nc1nc(CC(=O)Nc2cccc(-c3ccn[nH]3)c2)cs1,enamine
Z647814920,NC(=O)c1ccc(S(=O)(=O)N2CCN(Cc3cnn(-c4ccccc4)c3)CC2)o1,enamine
Z25181876,CCC1CCCCN1C(=O)COc1ccc(-n2cnnn2)cc1,enamine
Z385015650,COc1ccccc1C(=O)Nc1cccc(-n2nc(C)cc2C)c1,enamine
Z25181524,O=C(COc1ccc(-n2cnnn2)cc1)N1CCNC1=O,enamine
Z25182145,O=C(COc1ccc(-n2cnnn2)cc1)N1CCCCC1,enamine
Z1891240196,O=c1[nH]nc(-c2nc(-c3cnc4cnccn34)no2)c2ccccc12,enamine
Z25382867,Cc1ccc(S(=O)(=O)N2CCN(C(=O)COc3ccc(-c4nnco4)cc3)CC2)cc1,enamine
Z25382871,O=C(COc1ccc(-c2nnco2)cc1)N1CCN(S(=O)(=O)c2ccccc2)CC1,enamine
Z25383519,O=C(COc1ccc(-c2nnco2)cc1)N1CCCCC1,enamine
Z25383527,CC1CCCC(C)N1C(=O)COc1ccc(-c2nnco2)cc1,enamine
Z25383111,Cc1ccccc1Nc1nc(N)nc(COc2ccc(-c3nnco3)cc2)n1,enamine
Z25383335,CCOC(=O)C1CCN(C(=O)COc2ccc(-c3nnco3)cc2)CC1,enamine
Z730750368,O=C(Nc1nc(-c2cccc(F)c2)cs1)c1ccnc(-n2cncn2)c1,enamine
Z961351852,Cn1c(=O)n(C)c2cc(S(=O)(=O)NCc3ccc(C(N)=O)cc3)ccc21,enamine
Z907746474,Cc1cc(NC(=O)C(C)n2nnc(-c3ccc(F)c(C)c3)n2)no1,enamine
Z339479286,COc1cc(Cl)c(C)cc1NC(=O)c1cccc(Nc2ncccn2)c1,enamine
Z873196964,CC1CCC(C(N)=O)CN1S(=O)(=O)c1cnn(-c2ccccc2)c1,enamine
Z873187984,O=C(C1CC1)N1CCC(NS(=O)(=O)c2cnn(-c3ccccc3)c2)CC1,enamine
Z240387608,NC(=O)Cc1csc(NC(=O)Cc2cnn(-c3ccccc3)c2)n1,enamine
Z244356146,Cc1oc(-c2ccccc2)nc1CC(=O)Nc1nc(CC(N)=O)cs1,enamine
Z1515413711,CN(Cc1nccn1C)C(=O)c1cc(-c2ccccn2)ccc1Cl,enamine
Z1515409314,O=C(Nc1nc(-c2cccnc2)cs1)c1cc(-c2ccccn2)ccc1Cl,enamine
Z648165228,COc1ccccc1-c1nnc(NC(=O)c2cc(C)nc3c2c(C)nn3C)[nH]1,enamine
Z1955604436,Cc1cc(COc2ccc(-c3nnc4n3CCCC4)cc2)no1,enamine
Z648163482,COc1ccccc1-c1nnc(NC(=O)C2Cc3cc(Cl)ccc3O2)[nH]1,enamine
Z1913112301,C=CCn1c(-c2cnccn2)nnc1S(=O)(=O)Cc1ncc(Cl)cc1Cl,enamine
Z167156490,Cc1cc(=O)c(C(=O)N(C)Cc2cnn(C)c2)nn1-c1ccc(Cl)cc1,enamine
Z1323797780,COc1cc(-c2ccccc2)sc1C(=O)Nc1cn(C)c(=O)cc1C,enamine
Z1231051275,COc1cc(Cl)c(C)cc1NC(=O)c1cc(-n2cccn2)ccn1,enamine
Z25658269,O=c1c(Cl)c(Cl)cnn1Cc1nc(-c2ccccc2)no1,enamine
Z25712057,Brc1ccccc1-c1nnc(COc2ncnc3c2cnn3-c2ccccc2)o1,enamine
Z25727597,Cc1nn(-c2ccccc2)c(C)c1NC(=O)CN1C(=O)NC(C)(CCc2ccccc2)C1=O,enamine
Z450308926,Cc1nn(-c2ccc(C(F)(F)F)cn2)c(C)c1CC(=O)Nc1cccc(Cl)c1F,enamine
Z454208266,O=C(Cc1ccc(NC(=O)c2ccc(Br)o2)cc1)Nc1ccc(F)cc1,enamine
Z454385434,O=C(Cc1ccc(NC(=O)c2ccc(Br)o2)cc1)Nc1nccs1,enamine
Z25777642,NC(=O)c1ccccc1OCc1nnc(-c2ccccc2)o1,enamine
Z25789289,CCc1ccccc1Nc1nc(N)nc(COc2ccc(NC(C)=O)cc2)n1,enamine
Z25828957,O=C1NC(Cc2c[nH]c3ccccc23)C(=O)N1Cc1nc(-c2ccccc2)no1,enamine
Z104814524,CCc1nn2c(=O)cc(CNc3ccc(F)c(Cl)c3)nc2s1,enamine
Z1212300171,Cn1ccc(C(=O)Nc2nccn2Cc2ccccc2Cl)cc1=O,enamine
Z25939400,Cc1ccc(-c2nc(COn3nnc4ccccc43)cs2)cc1,enamine
Z650358390,Cc1ccc(NC(=O)c2cc(-c3cccnc3)on2)cc1NS(=O)(=O)c1ccccc1,enamine
Z421201400,CC(=O)Nc1ccc(C)c(NC(=O)c2nc(-c3ccccc3)n(-c3ccccc3)n2)c1,enamine
Z649234910,O=C(NCc1cc(-c2ccccc2)no1)c1cccc(N2CCNC2=O)c1,enamine
Z1480758227,FC(F)(F)Oc1cccc(CNc2cccc(-c3nnc[nH]3)c2)c1,enamine
Z1157479757,Cn1ccnc1-c1cccc(NS(=O)(=O)c2cncc(F)c2)c1,enamine
Z649235612,Cc1c(C(=O)NCc2cc(-c3ccccc3)no2)cnn1-c1ccccn1,enamine
Z1517448281,COC(=O)c1ncccc1OCc1ncc(-c2ccc(Cl)cc2)o1,enamine
Z414860292,O=C(NCc1ccc(-n2cccn2)cc1)c1cncc(Br)c1,enamine
Z649236386,Cn1cc(-c2nc(C(=O)NCc3cc(-c4ccccc4)no3)cs2)cn1,enamine
Z26063668,Cc1ccc(-c2noc(COn3nnc4ccc(Cl)cc43)n2)cc1,enamine
Z26068673,Brc1ccccc1-c1nnc(COc2ccc(-n3cnnn3)cc2)o1,enamine
Z26047339,COc1cc(C)cc(OC)c1OCc1nnc(-c2ccc(Cl)cc2)o1,enamine
Z1971925544,O=C(Nc1ccc(-n2cncn2)cc1)c1nn[nH]c1-c1ccccc1,enamine
Z1913117660,COc1ccnc(CS(=O)(=O)c2nnc(-c3ccc(Cl)cc3)[nH]2)c1OC,enamine
Z1913234265,COC(=O)c1sccc1S(=O)(=O)Nc1ccc(-n2cnnc2)cc1,enamine
Z1981198029,CCOc1ccc(Oc2ccc(S(=O)(=O)NCc3nncn3C3CC3)cc2)cc1,enamine
Z1517287390,Cc1cnn(Cc2cc(C(=O)NCc3cccc4c3OCO4)no2)c1,enamine
Z131774410,CN(Cc1cnn(Cc2ccccc2)c1)C(=O)c1cc(Cl)ccc1F,enamine
Z730856310,CCN1C(=O)c2ccccc2NC1c1csc(-c2ccccn2)n1,enamine
Z1517309909,CCOc1ccc(C#N)cc1NC(=O)c1cccc(-n2ccnn2)c1,enamine
Z815963702,O=C(NCc1cccc(Cn2cncn2)c1)C1CCCN1Cc1ccccc1,enamine
Z28999203,Cc1nc(NC(=O)c2ccccc2S(C)(=O)=O)sc1Cc1ccc2c(c1)OCO2,enamine
Z115007068,Cc1csc(NC(=O)c2nn(-c3ccccc3)c(C)cc2=O)n1,enamine
Z26146542,CC(Oc1ccc(-c2nnco2)cc1)C(=O)N1c2ccccc2CC1C,enamine
Z1037629292,CC(C)c1nnc(COc2ccc(-c3ccc(C#N)cc3)cc2)o1,enamine
Z26191690,O=C1c2ccccc2S(=O)(=O)NN1Cc1coc(-c2ccccc2)n1,enamine
Z395340028,O=C(Nc1cccc2c1C(=O)NC2)c1ccn(-c2ccccc2)n1,enamine
Z1855612888,NS(=O)(=O)c1cccc(NCc2cccc(-c3ccncc3)c2)c1,enamine
Z26224121,OCc1cc(Br)ccc1OCc1nnc(-c2ccccc2Br)o1,enamine
Z26252775,O=C(Cn1c(=O)[nH]n(-c2ccccc2)c1=O)N1CCc2ccccc2C1,enamine
Z1262386012,CN(C(=O)Nc1cnn(Cc2ccccn2)c1)C1CCc2ccccc21,enamine
Z26256389,COc1cc(C#N)ccc1OCc1ncc(-c2ccccc2)o1,enamine
Z26312777,NC(=O)c1ccc(OCc2ncc(-c3ccccc3)o2)cc1,enamine
Z1262405189,N#Cc1nccnc1NCc1nc(-c2ccc(F)cc2)c[nH]1,enamine
Z26324918,Cc1ccccc1Nc1nc(N)nc(COc2ccc(Cl)cc2C(N)=O)n1,enamine
Z26326564,COc1cccc(C(N)=O)c1OCc1coc(-c2ccccc2)n1,enamine
Z1913116457,COc1c(C)cnc(CS(=O)(=O)c2nnc(C3CC3)n2Cc2ccccc2)c1C,enamine
Z856168546,CCc1nc2ccccc2c(C(=O)Nc2ccc(Oc3ncccn3)cc2C)c1C,enamine
Z26333854,Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,enamine
Z26326282,COc1cccc(C(N)=O)c1OCc1nnc(-c2ccccc2)o1,enamine
Z26365855,CC(=O)Nc1ccccc1OCc1nnc(-c2ccc(Cl)cc2)o1,enamine
Z26366117,CC(=O)Nc1ccccc1OCc1ncc(-c2ccccc2)o1,enamine
Z2027555292,CC(NC(=O)c1snc(O)c1Cl)c1ccc(Oc2ccccc2)cc1,enamine
Z26381095,O=C(Nc1ccccc1)c1ccccc1OCc1nnc(-c2ccc(Cl)cc2)o1,enamine
Z650264738,CC(NC(=O)c1cccc(N(C)C)c1)c1ccc(-n2cc(C(N)=O)nn2)cc1,enamine
Z650152706,Cc1ccccc1-c1nnn(Cc2csc(-c3cnn(C)c3)n2)n1,enamine
Z1473917110,O=S(=O)(Nc1cc(-c2ccncc2)n[nH]1)c1ccccc1Cl,enamine
Z650266732,Cc1occc1C(=O)NC(C)c1ccc(-n2cc(C(N)=O)nn2)cc1,enamine
Z650112110,Cn1cc(-c2nc(Cn3nnc(-c4ccccc4)n3)cs2)cn1,enamine
Z26482849,Cc1ccc(NS(=O)(=O)c2cc(NC(=O)c3cccnc3)ccc2C)c(C)c1,enamine
Z26488977,Cc1cc(C)n(-c2ccc(C(=O)Nc3ccccc3C#N)cc2)n1,enamine
Z26550933,Cc1c(C(=O)Nc2ccc(-n3cnnn3)cc2)oc2ccccc12,enamine
Z26551026,O=C(Cc1csc(-c2ccccc2)n1)Nc1ccc(-n2cnnn2)cc1,enamine
Z26551050,O=C(Cn1cnc2ccccc2c1=O)Nc1ccc(-n2cnnn2)cc1,enamine
Z169791082,O=C(Cc1csc(-c2ccc(F)cc2)n1)NC1CCc2ccccc21,enamine
Z240597706,Cc1oc(-c2ccccc2)nc1CC(=O)NC1CCc2ccccc21,enamine
Z1170093066,O=C(Cc1noc(COc2cccc(NC(=O)C3CC3)c2)n1)Nc1ccccc1,enamine
Z1754520875,Cn1c(=O)[nH]c(=O)c2cc(S(=O)(=O)NCC3CCn4ccnc4C3)cnc21,enamine
Z395340098,Cc1cc(C)n(-c2ccc(C(=O)Nc3cccc4c3C(=O)NC4)cn2)n1,enamine
Z650559134,Cc1nc2cc(F)cc(C(=O)NCc3cccnc3-n3cncn3)c2nc1C,enamine
